SH600933	20180629	20230831
SH600935	20220630	20230831
SH600936	20190628	20210531
SH600955	20220630	20230831
SH600956	20201231	20210226
SH600961	20150529	20161130
SH600963	20161230	20230831
SH600965	20150529	20210531
SH600966	20180629	20230831
SH600971	20191231	20230831
SH600973	20150529	20181130
SH600975	20191231	20220531
SH600976	20150529	20160531
SH600977	20211231	20230831
SH600978	20191231	20200529
SH600979	20150529	20161130
SH600981	20150630	20211130
SH600982	20150529	20161130
SH600983	20170630	20171130
SH600984	20191231	20230831
SH600985	20181228	20190531
SH600986	20151231	20230831
SH600987	20150529	20210531
SH600988	20150529	20210531
SH600990	20150529	20230831
SH600993	20191231	20230831
SH600995	20150529	20230531
SH600996	20201231	20230831
SH600997	20170630	20230831
SH601001	20200630	20230831
SH601003	20170630	20181130
SH601007	20150529	20180531
SH601008	20150529	20161130
SH601010	20191231	20210531
SH601011	20160630	20230831
SH601015	20150630	20230831
SH601019	20230630	20230831
SH601020	20161230	20210531
SH601022	20230630	20230831
SH601028	20150529	20230831
SH601038	20150529	20190531
SH601058	20150529	20220531
SH601068	20221230	20230831
SH601069	20150630	20230831
SH601099	20220630	20230831
SH601100	20180629	20181130
SH601101	20171229	20230831
SH601107	20150630	20201130
SH601113	20181228	20191129
SH601116	20170630	20211130
SH601126	20170630	20230831
SH601137	20171229	20230831
SH601139	20180629	20190531
SH601158	20211231	20221130
SH601163	20180629	20220531
SH601188	20150630	20161130
SH601199	20150529	20171130
SH601200	20221230	20230831
SH601208	20211231	20230831
SH601212	20210630	20230831
SH601218	20150529	20170531
SH601222	20150529	20230831
SH601231	20220630	20221130
SH601258	20211231	20230531
SH601279	20211231	20230831
SH601311	20201231	20230831
SH601313	20150529	20160531
SH601330	20181228	20230831
SH601339	20150630	20180531
SH601366	20171229	20211130
SH601368	20151231	20171130
SH601369	20180629	20230831
SH601375	20181228	20230831
SH601388	20150630	20191129
SH601399	20211231	20230831
SH601500	20170630	20191129
SH601515	20191231	20230831
SH601519	20190628	20230831
SH601528	20211231	20230831
SH601566	20151231	20200529
SH601567	20191231	20230831
SH601588	20150529	20230531
SH601595	20170630	20220531
SH601599	20161230	20191129
SH601606	20190628	20230831
SH601609	20201231	20230831
SH601616	20150529	20161130
SH601619	20181228	20230831
SH601636	20150529	20210531
SH601666	20170630	20221130
SH601677	20150529	20230831
SH601678	20201231	20230831
SH601686	20210630	20230531
SH601689	20151231	20161130
SH601699	20180629	20181130
SH601700	20150529	20230831
SH601702	20220630	20230831
SH601777	20211231	20230831
SH601789	20150529	20210531
SH601798	20150529	20160531
SH601799	20150529	20191129
SH601801	20230630	20230831
SH601827	20201231	20230531
SH601858	20170630	20220531
SH601860	20221230	20230831
SH601882	20170630	20230831
SH601886	20181228	20230831
SH601890	20150529	20230831
SH601898	20210630	20211130
SH601900	20170630	20210531
SH601908	20180629	20230831
SH601918	20171229	20230831
SH601921	20211231	20230831
SH601929	20180629	20230831
SH601949	20180629	20230831
SH601952	20171229	20230831
SH601963	20211231	20230831
SH601965	20200630	20230831
SH601968	20151231	20181130
SH601975	20221230	20230831
SH601996	20150529	20151130
SH601999	20151231	20161130
SH603002	20150529	20160531
SH603003	20150529	20191129
SH603005	20200630	20230831
SH603008	20150529	20230831
SH603010	20171229	20230831
SH603012	20151231	20211130
SH603013	20181228	20230831
SH603018	20151231	20230831
SH603020	20151231	20170531
SH603025	20201231	20230831
SH603026	20161230	20220531
SH603027	20190628	20230831
SH603032	20221230	20230831
SH603033	20211231	20230831
SH603039	20181228	20220531
SH603043	20171229	20230831
SH603053	20200630	20230831
SH603055	20180629	20230831
SH603057	20230630	20230831
SH603058	20170630	20200529
SH603060	20200630	20230831
SH603063	20171229	20230831
SH603068	20191231	20230531
SH603071	20220630	20230831
SH603081	20171229	20210531
SH603093	20200630	20230831
SH603096	20180629	20200529
SH603098	20170630	20230831
SH603099	20150630	20161130
SH603100	20150630	20230831
SH603103	20180629	20230831
SH603105	20181228	20230831
SH603108	20161230	20230831
SH603111	20161230	20211130
SH603113	20171229	20230831
SH603116	20151231	20181130
SH603117	20151231	20171130
SH603118	20151231	20230831
SH603123	20150529	20230831
SH603126	20150529	20191129
SH603127	20190628	20211130
SH603128	20150529	20230831
SH603129	20201231	20230831
SH603132	20221230	20230831
SH603165	20180629	20191129
SH603166	20150630	20181130
SH603167	20150529	20161130
SH603168	20150529	20170531
SH603169	20191231	20230831
SH603170	20221230	20230831
SH603171	20211231	20230831
SH603179	20210630	20230831
SH603180	20181228	20221130
SH603185	20190628	20211130
SH603187	20210630	20230831
SH603197	20221230	20230831
SH603208	20201231	20230831
SH603212	20201231	20230831
SH603218	20171229	20211130
SH603220	20190628	20211130
SH603222	20191231	20221130
SH603227	20151231	20181130
SH603229	20210630	20230831
SH603233	20171229	20181130
SH603235	20221230	20230831
SH603236	20191231	20230831
SH603258	20170630	20230531
SH603267	20191231	20211130
SH603277	20180629	20191129
SH603279	20191231	20230831
SH603281	20230630	20230831
SH603283	20201231	20220531
SH603297	20221230	20230831
SH603298	20170630	20230831
SH603299	20160630	20230831
SH603300	20221230	20230831
SH603301	20201231	20230831
SH603303	20171229	20191129
SH603305	20171229	20230831
SH603306	20220630	20230831
SH603308	20150529	20230831
SH603309	20160630	20170531
SH603313	20170630	20230531
SH603318	20190628	20201130
SH603323	20171229	20230831
SH603327	20191231	20220531
SH603328	20210630	20230831
SH603337	20171229	20230531
SH603338	20151231	20230531
SH603339	20161230	20191129
SH603345	20181228	20230831
SH603348	20181228	20230831
SH603357	20180629	20210531
SH603358	20170630	20191129
SH603359	20180629	20221130
SH603360	20200630	20211130
SH603363	20181228	20230831
SH603367	20180629	20211130
SH603368	20150630	20230831
SH603378	20201231	20221130
SH603383	20191231	20220531
SH603385	20171229	20191129
SH603387	20180629	20230831
SH603390	20200630	20210531
SH603393	20170630	20230831
SH603396	20220630	20230831
SH603398	20160630	20181130
SH603399	20150529	20201130
SH603408	20201231	20211130
SH603416	20210630	20230831
SH603421	20170630	20210531
SH603429	20191231	20230831
SH603439	20201231	20230831
SH603456	20150630	20211130
SH603458	20180629	20201130
SH603466	20180629	20230831
SH603477	20230630	20230831
SH603489	20200630	20230831
SH603505	20220630	20230831
SH603508	20160630	20221130
SH603511	20211231	20221130
